STARTDATE,UDC_CATNUM,UDC_PLAZANUM,WEEK,QTY,UDC_CAT
01/01/2018,2,500,2018-01-01,14033.0,Frutas y Verduras
01/01/2018,5,500,2018-01-01,68922.0,Pan Blanco
01/01/2018,6,500,2018-01-01,132806.0,Abarrotes Comestibles
01/01/2018,7,500,2018-01-01,827688.0,Cerveza
01/01/2018,8,500,2018-01-01,418123.0,Cigarros
01/01/2018,9,500,2018-01-01,519409.0,Galletería y Repostería
01/01/2018,10,500,2018-01-01,62967.0,Uso Personal
01/01/2018,11,500,2018-01-01,1028361.0,Refrescos
01/01/2018,12,500,2018-01-01,35507.0,Carnes Frías
01/01/2018,13,500,2018-01-01,138597.0,Leche
01/01/2018,14,500,2018-01-01,7308.0,Revistas
01/01/2018,15,500,2018-01-01,382409.0,Dulces
01/01/2018,16,500,2018-01-01,403220.0,Botanas
01/01/2018,17,500,2018-01-01,13236.0,Helados y Paletas
01/01/2018,18,500,2018-01-01,10535.0,Hielo
01/01/2018,19,500,2018-01-01,35308.0,Alimentos Frescos
01/01/2018,20,500,2018-01-01,560190.0,Café Select
01/01/2018,22,500,2018-01-01,2459.0,Bebidas Frías (Frözt)
01/01/2018,25,500,2018-01-01,257110.0,Aguas
01/01/2018,26,500,2018-01-01,43568.0,Vinos y Licores
01/01/2018,27,500,2018-01-01,17997.0,Huevo
01/01/2018,28,500,2018-01-01,122360.0,Fresh Bakery
01/01/2018,29,500,2018-01-01,146758.0,Jugos y Néctares
01/01/2018,30,500,2018-01-01,65352.0,Periódicos
01/01/2018,31,500,2018-01-01,29850.0,Lácteos
01/01/2018,33,500,2018-01-01,14985.0,Farmacia
01/01/2018,36,500,2018-01-01,83615.0,Big Bite
01/01/2018,37,500,2018-01-01,6442.0,SUPER NACHOS
01/01/2018,39,500,2018-01-01,26155.0,Alimentos Calientes
01/01/2018,40,500,2018-01-01,90912.0,Abarrotes No Comestibles
01/01/2018,41,500,2018-01-01,51964.0,Energetizantes y Isotónicos
01/01/2018,44,500,2018-01-01,6968.0,"Autos, Ferretería y Hogar"
01/01/2018,46,500,2018-01-01,5246.0,Estacionales
01/01/2018,54,500,2018-01-01,2991.0,Estacionales Electrónicos y Telefonía
01/01/2018,55,500,2018-01-01,787.0,Programa de Alimentos
01/01/2018,59,500,2018-01-01,118.0,Bebidas Frías Slurpee
01/01/2018,62,500,2018-01-01,1331.0,RRPs (Vapor y tabaco calentado)
01/01/2018,300,500,2018-01-01,20.0,Alimentos a Consignación
01/08/2018,2,500,2018-01-08,14920.0,Frutas y Verduras
01/08/2018,5,500,2018-01-08,69525.0,Pan Blanco
01/08/2018,6,500,2018-01-08,126493.0,Abarrotes Comestibles
01/08/2018,7,500,2018-01-08,1012691.0,Cerveza
01/08/2018,8,500,2018-01-08,486416.0,Cigarros
01/08/2018,9,500,2018-01-08,550767.0,Galletería y Repostería
01/08/2018,10,500,2018-01-08,66019.0,Uso Personal
01/08/2018,11,500,2018-01-08,1359807.0,Refrescos
01/08/2018,12,500,2018-01-08,36468.0,Carnes Frías
01/08/2018,13,500,2018-01-08,121516.0,Leche
01/08/2018,14,500,2018-01-08,9078.0,Revistas
01/08/2018,15,500,2018-01-08,438862.0,Dulces
01/08/2018,16,500,2018-01-08,450022.0,Botanas
01/08/2018,17,500,2018-01-08,24007.0,Helados y Paletas
01/08/2018,18,500,2018-01-08,12921.0,Hielo
01/08/2018,19,500,2018-01-08,49387.0,Alimentos Frescos
01/08/2018,20,500,2018-01-08,379102.0,Café Select
01/08/2018,22,500,2018-01-08,4462.0,Bebidas Frías (Frözt)
01/08/2018,25,500,2018-01-08,384408.0,Aguas
01/08/2018,26,500,2018-01-08,49355.0,Vinos y Licores
01/08/2018,27,500,2018-01-08,17371.0,Huevo
01/08/2018,28,500,2018-01-08,106986.0,Fresh Bakery
01/08/2018,29,500,2018-01-08,196610.0,Jugos y Néctares
01/08/2018,30,500,2018-01-08,73469.0,Periódicos
01/08/2018,31,500,2018-01-08,47916.0,Lácteos
01/08/2018,33,500,2018-01-08,15372.0,Farmacia
01/08/2018,36,500,2018-01-08,83088.0,Big Bite
01/08/2018,37,500,2018-01-08,5997.0,SUPER NACHOS
01/08/2018,39,500,2018-01-08,29967.0,Alimentos Calientes
01/08/2018,40,500,2018-01-08,89275.0,Abarrotes No Comestibles
01/08/2018,41,500,2018-01-08,67875.0,Energetizantes y Isotónicos
01/08/2018,44,500,2018-01-08,5580.0,"Autos, Ferretería y Hogar"
01/08/2018,46,500,2018-01-08,6304.0,Estacionales
01/08/2018,54,500,2018-01-08,3351.0,Estacionales Electrónicos y Telefonía
01/08/2018,55,500,2018-01-08,776.0,Programa de Alimentos
01/08/2018,59,500,2018-01-08,181.0,Bebidas Frías Slurpee
01/08/2018,62,500,2018-01-08,2008.0,RRPs (Vapor y tabaco calentado)
01/08/2018,300,500,2018-01-08,55.0,Alimentos a Consignación
01/15/2018,2,500,2018-01-15,13550.0,Frutas y Verduras
01/15/2018,5,500,2018-01-15,70083.0,Pan Blanco
01/15/2018,6,500,2018-01-15,134061.0,Abarrotes Comestibles
01/15/2018,7,500,2018-01-15,934904.0,Cerveza
01/15/2018,8,500,2018-01-15,462987.0,Cigarros
01/15/2018,9,500,2018-01-15,621413.0,Galletería y Repostería
01/15/2018,10,500,2018-01-15,63807.0,Uso Personal
01/15/2018,11,500,2018-01-15,1123859.0,Refrescos
01/15/2018,12,500,2018-01-15,35707.0,Carnes Frías
01/15/2018,13,500,2018-01-15,124320.0,Leche
01/15/2018,14,500,2018-01-15,9902.0,Revistas
01/15/2018,15,500,2018-01-15,420388.0,Dulces
01/15/2018,16,500,2018-01-15,427043.0,Botanas
01/15/2018,17,500,2018-01-15,19274.0,Helados y Paletas
01/15/2018,18,500,2018-01-15,10697.0,Hielo
01/15/2018,19,500,2018-01-15,46318.0,Alimentos Frescos
01/15/2018,20,500,2018-01-15,645367.0,Café Select
01/15/2018,22,500,2018-01-15,3548.0,Bebidas Frías (Frözt)
01/15/2018,25,500,2018-01-15,311515.0,Aguas
01/15/2018,26,500,2018-01-15,50494.0,Vinos y Licores
01/15/2018,27,500,2018-01-15,17011.0,Huevo
01/15/2018,28,500,2018-01-15,139862.0,Fresh Bakery
01/15/2018,29,500,2018-01-15,164844.0,Jugos y Néctares
01/15/2018,30,500,2018-01-15,74430.0,Periódicos
01/15/2018,31,500,2018-01-15,36885.0,Lácteos
01/15/2018,33,500,2018-01-15,14216.0,Farmacia
01/15/2018,36,500,2018-01-15,75192.0,Big Bite
01/15/2018,37,500,2018-01-15,6002.0,SUPER NACHOS
01/15/2018,39,500,2018-01-15,30109.0,Alimentos Calientes
01/15/2018,40,500,2018-01-15,85417.0,Abarrotes No Comestibles
01/15/2018,41,500,2018-01-15,57346.0,Energetizantes y Isotónicos
01/15/2018,44,500,2018-01-15,6134.0,"Autos, Ferretería y Hogar"
01/15/2018,46,500,2018-01-15,6544.0,Estacionales
