fecha,T,Po,U,RRR
01/01/2018,26.65384615,716.2307692,59.96153846,0
01/08/2018,20.02857143,721.4371429,65.37142857,6
01/15/2018,9.583333333,723.6583333,76.58333333,1.8
01/22/2018,14.31176471,723.05,74.73529412,1.5
01/29/2018,16.48125,722.975,59.4375,0.1
02/05/2018,27.30952381,716.9761905,68.52380952,16
02/12/2018,19.76170213,719.2702128,78.82978723,0.1
02/19/2018,20.70416667,716.8125,81.1875,4
02/26/2018,18.38,719.145,79.55,6.7
03/05/2018,26.93548387,716.716129,70.19354839,0.5
03/12/2018,20.94210526,717.6789474,67.71052632,0.7
03/19/2018,23.61304348,716.826087,64.10869565,0.1
03/26/2018,21.88604651,716.9581395,64.02325581,0
04/02/2018,26.67222222,717.275,66.52777778,1.4
04/09/2018,23.40909091,717.5568182,57.11363636,0.4
04/16/2018,22.01142857,717.9371429,74,39.1
04/23/2018,20.65106383,718.593617,82.76595745,21.9
04/30/2018,21.13809524,718.65,77.30952381,12.8
05/07/2018,24.4875,718.2979167,75.95833333,6.3
05/14/2018,27.04545455,714.9045455,70.29545455,1.3
05/21/2018,25.96521739,716.1217391,76.89130435,21
05/28/2018,23.69047619,715.8714286,68.83333333,0
06/04/2018,26.95609756,718.0926829,70.02439024,5.3
06/11/2018,25.81463415,716.1463415,72.04878049,0.8
06/18/2018,26.94666667,714.2777778,79.71111111,159.4
06/25/2018,27.36315789,716.6605263,71.31578947,1
07/02/2018,22.6875,720.109375,67.75,2.2
07/09/2018,25.82105263,717.2052632,74.28947368,6.3
07/16/2018,29.13,717.2825,63.475,0
07/23/2018,30.75609756,717.4317073,59.7804878,0
07/30/2018,22.58648649,719.0945946,64.10810811,0.1
08/06/2018,23.78787879,717.5727273,79.45454545,13.6
08/13/2018,30.11707317,716.7073171,59.63414634,0
08/20/2018,29.10833333,717.9916667,59.02083333,1
08/27/2018,26.12,717.5,62.08571429,0.1
09/03/2018,24.61142857,716.9914286,74.77142857,82.2
09/10/2018,22.40555556,717.85,81.75,6.9
09/17/2018,26.44571429,716.6657143,78.25714286,1.4
09/24/2018,25.41,718.32,80.2,213.1
10/01/2018,23.45263158,716.3684211,65.55263158,0.8
10/08/2018,22.22051282,717.8358974,75.58974359,19.6
10/15/2018,15.44864865,721.872973,88.02702703,32.3
10/22/2018,19.07368421,719.3052632,83.55263158,4.8
10/29/2018,22.66190476,716.852381,68.5,0
11/05/2018,25.54761905,716.6333333,72.30952381,10.3
11/12/2018,12.8952381,723.9261905,70.0952381,0.4
11/19/2018,15.69473684,719.3342105,82.42105263,3.2
11/26/2018,14.76756757,720.8189189,66.64864865,0.5
12/03/2018,26.13333333,717.1571429,63.80952381,4.2
12/10/2018,17.33939394,719.2969697,69.3030303,4
12/17/2018,17.26315789,718.6105263,55.68421053,0
12/24/2018,22.14285714,713.6714286,63.42857143,0
